Custom Name,Brix,T2
A1-1,13.7,21.2
A1-2,13,21.7
A1-3,13.6,21.9
A1-4,12.6,22.3
A1-5,13.1,22.5
A1-6,14.4,22.6
A2-1,12.7,22.7
A2-2,13.1,22.8
A2-3,12.7,22.9
A2-4,13.1,22.9
A2-5,12.8,22.9
A2-6,13.3,22.8
A3-1,14.3,22.8
A3-2,15.2,22.9
A3-3,15,22.9
A3-4,14,23
A3-5,13.1,23
A3-6,13.6,23
A4-1,13.8,23
A4-2,13.6,23
A4-3,13.3,23
A4-4,13.5,22.8
A4-5,13.6,22.9
A4-6,13.6,22.9
A5-1,14.1,22.9
A5-2,14.4,22.9
A5-3,13.8,22.9
A5-4,13,22.9
A5-5,13.1,22.8
A5-6,12.9,22.8
A6-1,14,22.8
A6-2,14.8,22.8
A6-3,14.9,22.8
A6-4,14.2,22.8
A6-5,13.9,22.7
A6-6,14.1,22.7
A7-1,16.6,22.6
A7-2,16.8,22.6
A7-3,14.2,22.7
A7-4,12.7,22.8
A7-5,12.3,22.9
A7-6,13.3,22.9
A8-1,14.9,22.9
A8-2,14.6,22.9
A8-3,14.4,22.9
A8-4,13.4,22.9
A8-5,13.8,22.9
A8-6,14,22.8
A9-1,13.6,22.7
A9-2,14.2,22.7
A9-3,14.4,22.8
A9-4,13.1,22.8
A9-5,13.9,22.7
A9-6,13.9,22.7
A10-1,13.8,22.5
A10-2,13.3,22.5
A10-3,12.8,22.5
A10-4,12.3,22.4
A10-5,13.5,22.4
A10-6,13.5,22.3
A11-1,15.1,22.3
A11-2,15.4,22.3
A11-3,14.9,22.4
A11-4,13.3,22.3
A11-5,13,22.3
A11-6,13.5,22.3
A12-1,13.8,22.2
A12-2,14.1,22.3
A12-3,14.2,22.3
A12-4,14.2,22.3
A12-5,14.3,22.3
A12-6,13.9,22.3
A13-1,12.8,22.3
A13-2,14.8,22.3
A13-3,14.2,22.3
A13-4,13.5,72.3
A13-5,12.1,22.3
A13-6,13.2,22.3
A14-1,14.4,22.3
A14-2,14.1,22.3
A14-3,14.1,22.3
A14-4,12.7,22.3
A14-5,12.2,22.3
A14-6,12.9,22.2
A15-1,14.5,22.2
A15-2,14.5,22.1
A15-3,14.4,22.1
A15-4,15.2,22.1
A15-5,15.3,22.1
A15-6,14.2,22.1
A16-1,15.1,21.6
A16-2,14.9,22.1
A16-3,13.7,22.4
A16-4,11.7,22.6
A16-5,13.4,22.7
A16-6,13.5,22.9
A17-1,13.8,22.8
A17-2,13.8,23
A17-3,12.8,23.1
A17-4,12.4,23.1
A17-5,12.6,23.2
A17-6,13.1,23.1
A18-1,16.3,23
A18-2,16.1,23.1
A18-3,16.4,23.1
A18-4,12.4,23
A18-5,13.7,22.9
A18-6,14.2,22.9
A19-1,13.6,22.9
A19-2,13.1,22.9
A19-3,13.7,23
A19-4,13.8,23
A19-5,13.5,23
A19-6,12.9,23
A20-1,13.7,23
A20-2,13.9,22.9
A20-3,14.2,23
A20-4,13.5,22.9
A20-5,13.7,22.8
A20-6,14.6,22.8
A21-1,13.8,22.8
A21-2,16.7,22.8
A21-3,15.4,22.8
A21-4,13,22.8
A21-5,13.8,22.7
A21-6,13.3,22.7
A22-1,14.1,22.8
A22-2,14.1,22.9
A22-3,13.7,23.1
A22-4,12.7,23.1
A22-5,12.9,23.2
A22-6,13.5,23.2
A23-1,15.7,23.1
A23-2,16.8,23.1
A23-3,15.8,23.1
A23-4,12.9,23.1
A23-5,14,23
A23-6,13.8,23.1
A24-1,13.9,23
A24-2,14.2,23
A24-3,12.6,23
A24-4,12.7,23
A24-5,12.4,23.3
A24-6,11.9,23.3
A25-1,13.8,23.3
A25-2,14.2,23.4
A25-3,14.2,23.3
A25-4,14,23.3
A25-5,13.6,23.2
A25-6,13.6,23.1
A26-1,14.5,23
A26-2,15.2,23
A26-3,14.8,23
A26-4,12.5,22.9
A26-5,12.8,22.8
A26-6,12.7,22.8
A27-1,14.1,22.7
A27-2,14.4,22.7
A27-3,13.8,22.7
A27-4,13.4,22.6
A27-5,13.2,22.6
A27-6,13.6,22.6
A28-1,15.2,22.7
A28-2,15.9,22.6
A28-3,15.2,22.6
A28-4,12.8,22.6
A28-5,12.9,22.5
A28-6,11.2,22.5
A29-1,14.6,22.4
A29-2,14.9,22.3
A29-3,14.5,22.4
A29-4,13,22.3
A29-5,13.1,22.3
A29-6,13.1,22.3
A30-1,12.7,22.2
A30-2,14.7,22.2
A30-3,14.2,22.2
